,title,company,summary
0,Experienced Python Developer,Pixlie Web Solutions Pvt. Ltd.,"We are looking for an experienced Python developer with hands on experience in building software, reviewing work from team members, deployment (to cloud…"
1,Python & Machine Learning Developer,Bay Leaf Digital,The primary responsibility of this role is to develop our analytics tool with machine learning capabilities.Extracting data from a number of systems including…
2,Experienced Python Developer,Hypercodr,"A US based startup firm looking for an experienced Python developer with hands-on knowledge of working with Python, PostgreSQL, REST API, JSON Schema, Python…"
3,SQL/Python Developer,Viveja LLP,"The candidate must be able to work in fast paced, super smart, cutting edge, team of developers on design, develop and release enterprise web/mobile…"
4,Python Big Data Developer,Impetus Infotech India Pvt. Ltd.,"Strong programming experience with Python .Experience working with Big Data streaming services such as Storm, Kafka, etc..Big data: 2 years (Required)."
5,Python Developer,HCL Technologies,"We are looking to hire proficient talent in areas of network engineering, product testing, software engineering (Java Full Stack, ."
6,ATM Phoenix/ Aptra Developer,Larsen & Toubro Infotech Limited,"Worked as developer on ""ATM Phoenix"" OR ""ATM Aptra"" for 5+ years .Programming Languages – C,C++, PHP, HTML, JS, Oracle Pro*C, PL/SQL,java ,angler JS, python…"
7,Python Developer (MEAS),Mercedes-Benz Research and Development India Priva...,Experience in developing application using python Django.Experience in developing test automation framework using python.Automotive domain is preferred.
8,Python Developer,Sutherland,"Participate in design, code reviews with other developers and test-case review with testers.This position is responsible for developing and testing software…"
9,Python Developer,HP,"Within Print Analytics, the UCDE & HP+ Analytics team seeks to deploy data products through the ETL (Extraction, Transformation & Loading) process that would…"
10,Python Django E-commerce Website Developer,WebLead Technologies,Please only apply if you have python eCommerce website development knowledge.3 Years of Experience in Python Website Developer.This is Full time job.
11,Python Developer,CONNEQT,"Writing efficient, reusable, testable, and scalable code.Understanding, analyzing, and implementing – Business needs, feature modification requests, conversion…"
12,Python Developer,Mohar Technologies,Strong experience with core python (2.X/3.X) and its standard libraries.Job Brief: Python Developer with hands-on experience of 1 – 3 year(s) in Django REST.
13,Python Developer,i-exceed technology solutions private limited,"3+ years of strong hands-on coding expertise with Python and related frameworks.Knowledge of at least one Python web framework (such as Django, Flask)."
14,Python Development Internship,Kwiky Technologies,Integrating user-facing elements developed by front-end developers with server-side logic 4.With constantly changing marketing strategies and an upward shift…
15,Experienced Python Developer,Pixlie Web Solutions Pvt. Ltd.,"We are looking for an experienced Python developer with hands on experience in building software, reviewing work from team members, deployment (to cloud…"
16,Python & Machine Learning Developer,Bay Leaf Digital,The primary responsibility of this role is to develop our analytics tool with machine learning capabilities.Extracting data from a number of systems including…
17,Experienced Python Developer,Hypercodr,"A US based startup firm looking for an experienced Python developer with hands-on knowledge of working with Python, PostgreSQL, REST API, JSON Schema, Python…"
18,SQL/Python Developer,Viveja LLP,"The candidate must be able to work in fast paced, super smart, cutting edge, team of developers on design, develop and release enterprise web/mobile…"
19,Python Developer,CodeNomad,We are looking for an experienced Python Developer having at least 1.5 years of work experience in the full software development cycle.
20,Python Developer,HCL Technologies,"We are looking to hire proficient talent in areas of network engineering, product testing, software engineering (Java Full Stack, ."
21,ATM Phoenix/ Aptra Developer,Larsen & Toubro Infotech Limited,"Worked as developer on ""ATM Phoenix"" OR ""ATM Aptra"" for 5+ years .Programming Languages – C,C++, PHP, HTML, JS, Oracle Pro*C, PL/SQL,java ,angler JS, python…"
22,Python Developer (MEAS),Mercedes-Benz Research and Development India Priva...,Experience in developing application using python Django.Experience in developing test automation framework using python.Automotive domain is preferred.
